cus_Gender,cus_MartialTypeId,cus_Dependants,cus_CurrenResTypeId,cus_CurrenStyYear,cus_Age,IndustryType,CustomerProfile,CustomerSegment,app_CustLoadTypeId,MarketNoofYearsinBusiness,app_CustAssetValue,app_CustProductCatTypeId,app_CustBrandTypeId,app_CustTenure,app_CustInstalCount,app_CustChasAsset,app_CustChasInitial,app_CustChasFinance,app_CustFinanInterest,app_CustEMI,app_CustGrossLoan,app_CustViaIncomEstIncPm,app_CustViaExpTotExpense,app_CustViaGrossSurplus,app_CustUVAge,avg_clobal,Score,AnotherScore,Loan_to_Value,Collateral,Overdue,Banking,Earning Potential,Label
M,2750,2,2755,15,,605,2693,2695,566,,3617580,1672,564,48,47,3617580,417580,3200000,5.65,84432.11,3968309,230400,120000,110400,0,84432.11,599,674,0,0,0,50,80,Pay
M,2750,4,2755,4,,605,2693,2695,569,,3715830,1672,564,36,34,3715830,371830,3344000,5.69,575730.28,19574830,520000,25000,495000,,575730.28,,,0,0,100,50,80,Pay
M,2750,4,2755,4,,605,2693,2695,569,,3715830,1672,564,36,34,3715830,371830,3344000,5.69,575730.28,19574830,520000,25000,495000,,575730.28,,,0,0,100,-50,80,Pay
M,2750,4,2755,4,,605,2693,2695,569,,3715830,1672,564,36,34,3715830,371830,3344000,5.69,575730.28,19574830,520000,25000,495000,,575730.28,,,0,0,100,0,80,Pay
M,2750,4,2755,4,,605,2693,2695,569,,3715830,1672,564,36,34,3715830,371830,3344000,5.69,575730.28,19574830,520000,25000,495000,,575730.28,,,0,0,0,0,80,Pay
M,2750,4,2755,4,,605,2693,2695,569,,3715830,1672,564,36,34,3715830,371830,3344000,5.69,575730.28,19574830,520000,25000,495000,,575730.28,,,0,0,0,100,80,Pay
M,2750,3,2755,20,,605,2693,2695,566,,1363405,528,739,36,35,1363405,213405,1150000,6.34,39542.45,1383986,288000,143300,144700,0,39542.45,706,658,0,0,0,-50,80,Pay
M,2750,2,2755,28,,605,2693,2695,566,,3364075,527,564,60,58,3364075,104075,3260000,6.12,74580.49,4325669,150000,18350,131650,,74580.49,701,628,0,0,100,0,80,Pay
M,2750,1,2755,32,,605,2693,2695,566,,3364075,527,564,60,58,3364075,75,3364000,5.75,77924.58,4519626,557600,274166,283434,0,77924.58,656,711,0,0,0,50,80,Pay
M,2750,0,2755,35,,605,2693,2695,566,,3785642,1672,564,48,46,3785642,555642,3230000,6.04,88068.19,4051137,500000,195571,304429,0,88068.19,,,0,0,0,-50,80,Pay
M,2750,2,2755,32,,605,2693,2695,566,,2623608,527,564,60,58,2623608,608,2623000,5.52,58230.55,3377372,621000,374900,246100,,58230.55,662,667,0,0,0,0,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3617578,1672,564,41,40,3617578,417578,3200000,5.28,95061.55,3802462,230400,117200,113200,0,95061.55,557,711,0,0,100,0,80,Pay
M,2750,2,2755,50,,605,2693,2695,569,,2623608,527,564,60,58,2623608,608,2623000,5.52,58545.08,3395615,648000,374900,273100,,58545.08,709,737,0,0,0,50,80,Pay
M,2750,4,2755,10,35,1783,2693,2695,566,,3617578,1672,564,48,47,3617578,417578,3200000,5.65,84655.69,3978817,230400,120000,110400,0,84655.69,723,687,0,0,100,50,80,Pay
M,2750,0,2755,10,,605,2693,2695,566,,2048720,634,564,60,58,2048720,348720,1700000,7.35,40096.51,2325598,294000,155333,138667,,40096.51,653,631,0,0,0,-50,80,Pay
M,2750,0,2755,30,39,1783,2693,2696,569,6,3358000,527,564,60,58,3358000,252000,3106000,6.72,72688.48,4215932,280000,85875,194125,,72688.48,709,950,0,0,100,50,80,Pay
M,2750,3,2755,25,41,605,2693,2695,,25,,527,564,,,,,,,,,,,,,,617,658,0,0,100,-50,0,Pay
M,2750,4,2755,10,32,1783,2693,2695,566,,2925000,528,1659,41,40,2925000,293000,2632000,5.55,79247.29,3169892,325000,44500,280500,,79247.29,715,722,0,0,0,100,80,Pay
M,2750,0,2755,5,43,1783,2693,2695,569,10,3692172,1672,564,48,47,3692172,554172,3138000,5.9,165783.47,7791823,850000,499337,350663,0,165783.47,616,697,0,0,0,50,0,Pay
M,2750,0,2755,5,43,1783,2693,2695,569,10,3692172,1672,564,48,47,3692172,554172,3138000,5.9,165783.47,7791823,850000,499337,350663,0,165783.47,616,697,0,0,0,50,0,Pay
M,2750,3,2755,25,32,658,2693,2695,566,,2975000,528,1864,48,46,2975000,475000,2500000,6.63,69311.51,3188330,155000,29500,125500,0,69311.51,,,0,0,0,0,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.08,742726.99,43078166,990000,354000,636000,,742726.99,676,721,0,0,0,50,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.08,742726.99,43078166,990000,354000,636000,,742726.99,676,721,0,0,0,100,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.08,742726.99,43078166,990000,354000,636000,,742726.99,676,721,0,0,0,100,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.08,742726.99,43078166,990000,354000,636000,,742726.99,676,721,0,0,100,100,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.08,742726.99,43078166,990000,354000,636000,,742726.99,676,721,0,0,100,0,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.08,742726.99,43078166,990000,354000,636000,,742726.99,676,721,0,0,0,0,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.08,742726.99,43078166,990000,354000,636000,,742726.99,676,721,0,0,100,-50,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.08,742726.99,43078166,990000,354000,636000,,742726.99,676,721,0,0,0,50,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.08,742726.99,43078166,990000,354000,636000,,742726.99,676,721,0,0,0,100,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,127,3227000,5.08,742726.99,43078166,990000,354000,636000,,742726.99,676,721,0,0,0,50,80,Pay
M,2750,3,2755,20,30,1783,2693,2695,566,10,3227411,527,564,60,58,3227411,161411,3066000,5.96,69153.39,4010897,2340000,807600,1532400,0,69153.39,,,0,0,100,-50,0,Pay
M,2750,2,2755,10,32,1783,2693,2695,566,5,3617578,1672,564,48,47,3617578,517578,3100000,5.9,82502.63,3877624,576000,290000,286000,0,82502.63,678,,0,0,100,-50,80,Pay
M,2750,3,2755,10,,605,2693,2695,566,,434000,527,564,12,11,434000,0,434000,8,42671.78,469390,600000,245500,354500,,42671.78,490,626,0,40,100,-50,80,Pay
M,2750,0,2755,25,,605,2693,2695,566,,4100000,528,744,42,41,4100000,1200000,2900000,5.28,84403.15,3460529,512500,195500,317000,,84403.15,,,100,0,0,50,80,Pay
M,2750,0,2755,12,,605,2693,2695,566,,3715830,1672,564,48,47,3715830,515830,3200000,5.95,170312.1,8004669,624000,268000,356000,,170312.1,738,687,0,0,100,0,80,Pay
M,2750,0,2755,12,,605,2693,2695,566,,3715830,1672,564,48,47,3715830,515830,3200000,5.95,170312.1,8004669,624000,268000,356000,,170312.1,738,687,0,0,0,50,80,Pay
M,2750,2,2755,23,33,605,2693,2695,566,23,3507750,1672,564,48,47,3507750,607750,2900000,5.6,76064.33,3575024,280000,125500,154500,,76064.33,1,703,0,0,0,50,0,Pay
M,2750,2,2755,10,,605,2693,2695,566,,2900000,528,1864,48,46,2900000,580000,2320000,7.23,66031.23,3037437,168000,56833,111167,,66031.23,,,75,0,100,0,80,Pay
M,2750,4,2755,15,26,1783,2693,2695,566,10,3026711,527,564,60,58,3026711,100711,2926000,6.15,66779.09,3873188,576000,244000,332000,,66779.09,713,719,0,0,0,50,80,Pay
M,2750,3,2755,12,32,876,2693,2695,566,,3364075,527,564,54,52,3364075,164075,3200000,6.08,79883.4,4153937,400000,72500,327500,,79883.4,,,0,0,100,50,80,Pay
M,2750,3,2755,20,,605,2693,2695,566,,3097549,527,564,48,46,3097549,0,3097549,5.45,83002.88,3818133,786500,348125,438375,,83002.88,547,659,0,40,100,50,80,Pay
M,2750,4,2755,47,,605,2693,2695,568,,2533500,1672,564,24,23,2533500,254500,2279000,5.42,109857.86,2526731,375000,95750,279250,,109857.86,,,0,0,100,-50,80,Pay
M,2750,2,2755,6,38,1783,2693,2695,566,10,3070659,527,564,60,58,3070659,0,3070659,6.12,70295.47,4077137,650000,412500,237500,,70295.47,,,0,40,0,0,0,Pay
M,2750,4,2755,47,,605,2693,2695,568,,2827361,528,743,24,23,2827361,492361,2335000,5.42,112556.57,2588801,336000,40588,295412,,112556.57,,,0,0,100,50,80,Pay
M,2750,3,2755,20,,605,2693,2695,566,,3273628,527,564,48,46,3273628,173628,3100000,5.45,83169.3,3825788,155000,37000,118000,,83169.3,694,681,0,0,100,100,80,Pay
M,2750,3,2755,20,,605,2693,2695,566,,3227411,527,564,60,58,3227411,411,3227000,5.81,72660.82,4214328,375000,189200,185800,0,72660.82,702,693,0,0,100,0,80,Pay
M,2750,3,2755,18,31,876,2693,2695,566,10,3364075,527,564,60,58,3364075,75,3364000,6.12,76831.86,4456248,700000,264466,435534,0,76831.86,600,682,0,0,100,0,80,Pay
M,2750,2,2755,20,,605,2693,2695,568,,3395345,1672,564,48,46,3395345,679345,2716000,5.76,73484.89,3380305,756000,247150,508850,0,73484.89,1,653,75,0,0,50,80,Pay
M,2750,3,2755,18,31,876,2693,2695,566,10,3492986,527,564,60,58,3492986,986,3492000,5.81,78716.09,4565533,600000,295500,304500,,78716.09,600,682,0,0,100,100,80,Pay
M,2750,0,2755,18,,605,2693,2695,566,,1829153,634,564,48,46,1829153,0,1829153,6.33,50343.62,2315807,155000,49000,106000,,50343.62,734,664,0,40,0,-50,80,Pay
M,2750,0,2755,18,,605,2693,2695,566,,2170020,528,1816,48,47,2170020,170020,2000000,6.33,53344.19,2507177,150000,78000,72000,0,53344.19,734,664,0,0,100,50,80,Pay
M,2750,0,2755,6,,605,2693,2695,566,,3331416,527,564,47,45,3331416,0,3331416,5.74,98857.29,4448578,400000,208000,192000,,98857.29,655,694,0,40,0,100,80,Pay
M,2750,2,2755,6,47,605,2693,2697,566,,4212040,527,564,48,46,4212040,631806,3580234,6.33,197345.01,9077871,504000,155850,348150,,197345.01,,,0,0,0,50,80,Pay
M,2750,0,2755,18,,605,2693,2695,566,,2204240,528,1816,48,47,2204240,304240,1900000,6.04,50208.71,2359810,225000,27350,197650,,50208.71,734,664,0,0,0,100,80,Pay
M,2750,2,2755,6,47,605,2693,2697,566,,4212040,527,564,48,46,4212040,631806,3580234,6.33,197345.01,9077871,504000,155850,348150,,197345.01,,,0,0,100,100,80,Pay
M,2750,2,2755,10,,605,2693,2695,566,,3227127,527,564,60,58,3227127,27127,3200000,6.12,72602.58,4210950,5100000,1331700,3768300,0,72602.58,655,642,0,0,100,0,80,Pay
